issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"Your access to the Claude team workspace needs to be restored by your organization's IT admin. According to our documentation, an admin can restore your access by re-assigning an 'Enterprise seat' to your account. Please reach out to your IT administrator or workspace owner to have them perform this action.",Admin Management,escalated,product_issue,"The user lost access because their IT admin removed their seat. The provided context clearly states that restoring access (by selecting 'Enterprise seat') is an action that must be performed by an admin. Since the user is not an admin and is requesting immediate restoration, and the support agent cannot perform this admin-level action, the ticket must be escalated. The response directs the user to the appropriate party (their IT admin) as per the context."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"Thank you for reaching out. We understand your concern regarding your HackerRank test score and the recruiter's decision. However, as a support agent, I do not have the ability to review individual test answers, manually adjust scores, or influence a company's hiring decisions. These processes are managed by the recruiting company based on the automated test results provided by HackerRank. Your request will be escalated to the appropriate team for further review.",HackerRank Testing & Evaluation,escalated,product_issue,"The context clearly states that HackerRank automatically updates test statuses and scores, and that recruiters view these reports and make evaluation decisions. There is no information in the corpus that allows a support agent to review candidate answers, increase scores, or intervene in a company's hiring process. Therefore, the request cannot be fulfilled by the agent and must be escalated."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,"Hi, We understand you're having an issue with a merchant after using your Visa card. You can report a problem you had when trying to use your Visa card or concerns involving a merchant by filling out the online form available at https://usa.visa.com/Forms/visa-rules.html. Please note that Visa does not set up, service, or have access to cardholder or merchant accounts. These functions are handled by our client financial institutions (the banks), which manage card issuance and statements.",Purchase Issues,replied,product_issue,"The context provides a direct link and instruction to 'Report a purchase issue' or 'fill out this form' for concerns involving a merchant (Source: visa - ../data/visa/support/consumer/visa-rules.md and visa - ../data/visa/support.md). It also explicitly states that 'Visa does not set up, service or have access to cardholder or merchant accounts' and that these are handled by 'client financial institutions (the banks)', which addresses the user's request for a direct refund or seller ban by Visa (Source: visa - ../data/visa/support.md)."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"Hi, If you are not satisfied with your mock interview experience, such as an interview stopping in between, you can request a refund. Please contact help@hackerrank.com, and the support team will promptly review your request.",Mock Interviews,replied,product_issue,"The response directly addresses the user's request for a refund for a mock interview that stopped. The provided context explicitly states under the 'Refund policy' that 'If you accidentally make a purchase or are not satisfied with your mock interview, contact [help@hackerrank.com](mailto:help@hackerrank.com). The support team will promptly review your request.' This allows for a direct and grounded reply."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,"Hi, If an amount was incorrectly deducted due to a payment issue, it will be refunded within 5–10 business days. Please allow this time for the refund to process.","Subscriptions, Payments, and Billing",replied,product_issue,"The support corpus explicitly states under 'What should I do if my payment fails?' that 'If any amount was deducted incorrectly, it will be refunded within 5–10 business days.' This directly addresses the user's request regarding a payment issue and getting their money back."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,Thank you for reaching out. Your request regarding HackerRank filling out infosec forms for your company requires specialized attention that is beyond the scope of this support channel. We are escalating your ticket to the appropriate team who can assist you further with your company's information security process in relation to using HackerRank for hiring.,Hiring Platform,escalated,product_issue,"The provided context does not contain any information or policy regarding HackerRank filling out infosec or security compliance forms for a customer. The request is sensitive and requires specialized handling, therefore it must be escalated."
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,I understand you're having trouble with submissions and cannot see an 'apply tab'. The information available in our current support documentation does not cover an 'apply tab' or specific troubleshooting for submissions not working in the way you described. I am escalating this ticket to a specialist who can provide further assistance.,HackerRank General,escalated,product_issue,"The user's request mentions an 'apply tab' which is not present in any of the provided HackerRank context. While there is information about 'submissions' and 'challenge results', there are no direct troubleshooting steps for 'submissions not working' as a general issue (e.g., if the submission button is broken or an error occurs during the submission process). Therefore, the issue cannot be resolved with the given context and requires escalation."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Hi, We understand you're experiencing issues with submissions across challenges on HackerRank. Please try the following troubleshooting steps:

1.  **Check Challenge Results:**
    *   Wait for your challenge results to process. They usually appear shortly after submission.
    *   Check the leaderboard, as it may take some time to refresh.
    *   Confirm you are logged into the **same HackerRank Community account** you used for the challenge, as results do not appear across different accounts.
    *   Please note: If you are participating in a company-sponsored challenge, HackerRank does not display the results. The hosting company will contact you directly.

2.  **Address Loading/Processing Issues:**
    *   Close the challenge window and then reopen it using the same challenge link.
    *   Try opening the challenge in another supported browser (e.g., the latest versions of Chrome, Firefox, or Edge) for full compatibility.
    *   Ensure your internet connection is stable.

If you are still facing an issue after trying these steps, please contact HackerRank support at help@hackerrank.com for further assistance.",HackerRank Community Challenges,replied,product_issue,"The response directly addresses the user's issue of 'submissions not working' by providing a combination of troubleshooting steps found in the 'Coding Challenges FAQs' section of the HackerRank support corpus. Specifically, it includes advice for 'Why do I not see my challenge results?' and 'What should I do if my challenges do not load or show an infinite Processing message?'. It also provides the designated HackerRank support email for further assistance, as instructed by the context."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Hi, It sounds like you're encountering a connectivity issue during the pre-test compatibility check, specifically with what you're referring to as 'zoom connectivity', which is preventing you from starting your test. HackerRank's compatibility page includes a WebSocket Connectivity Check designed to detect and help resolve setup issues before you begin. For detailed guidance on troubleshooting test login and connectivity errors, please refer to the following resource: Troubleshooting Test Login Errors (https://candidatesupport.hackerrank.com/articles/2573735554-test-login-errors).",HackerRank Candidate Experience,replied,product_issue,"The response directly addresses the user's issue regarding a 'compatible check' and 'connectivity' blocker by referencing the 'WebSocket Connectivity Check on Compatibility Page' from the provided context. It also includes the relevant troubleshooting link 'Troubleshooting Test Login Errors' which is designed to help candidates resolve setup issues before starting a test, aligning perfectly with the user's problem."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",nan,HackerRank,"Hi, To reschedule your HackerRank assessment, please reach out directly to the company that invited you to the assessment. They are responsible for managing the assessment schedule and can provide you with an alternative date and time or reinvite you to the test if appropriate.",Candidate Experience,replied,product_issue,"The context indicates that the inviting company is responsible for managing assessment schedules and deciding whether to offer a retest or reinvite a candidate (Source 3, Source 5). There is no information in the provided context that suggests HackerRank Support directly handles rescheduling requests from candidates for assessments due to personal circumstances. Therefore, the appropriate action is to direct the candidate to the company that issued the assessment."
